producto_esperado,en_bd,tiene_formula
AMINA JB,Sí,No
DESENGRAS BIO 78,Sí,No
AMINA JAF,Sí,No
ENZIM REM,Sí,No
ENZIM PEL,Sí,No
ENZIM RND,Sí,No
DESLIZANTE,Sí,No
IMPEOIL SOFT,Sí,No
IMPEACRIL AR,Sí,No
IMPEHUM HB,Sí,No
BACTERICIDA 80,Sí,No
BACTERICIDA 60,Sí,No
IMPEFAST FM,No,No
SECUESTRON CC,Sí,No
IMPEFAST GM,No,No
RECURTAN JF 22,Sí,No
IMPEFAST NP,No,No
IMPEFAST NP C,No,No
RECURTAN JF 95,Sí,No
SULPHODEP 13,Sí,No
DESENGRAS BIO 78 QC,No,No
QUIMO OXILIFT,Sí,No
DESENGRAS 05,No,No
DESENGRAS PLUS,Sí,No
PINOL,Sí,No
PINOL CONCENTRADO,Sí,No
FRICCIÓN,No,No
SARRIGEL,Sí,No
MÁS NEGRO,Sí,No
ACEITE PARA MOP,Sí,No
CLORO CLEAN,Sí,No
CLORO AL 8,No,No
CLORO AL 6,No,No
JABÓN PARA TRASTES LÍQUIDO LIMÓN,Sí,No
DETERGENTE LÍQUIDO PARA ROPA DE COLOR,Sí,No
DETERCON,Sí,No
SOSA AL 50 %,No,No
IMPEFAST SP,Sí,No
FANTÁSTICO PRIMAVERA,Sí,No
FANTÁSTICO LIMÓN,Sí,No
FANTÁSTICO LAVANDA,Sí,No
FANTÁSTICO CANELA,Sí,No
FANTÁSTICO GREEN BAMBÚ,No,No
FANTÁSTICO CITRONELA,Sí,No
FANTÁSTICO MENTA,Sí,No
FANTÁSTICO TORONJA,Sí,No
FASCINANTE PRIMAVERA,Sí,No
FASCINANTE LIMÓN,Sí,No
FASCINANTE LAVANDA,Sí,No
FASCINANTE CANELA,Sí,No
FASCINANTE GREEN BAMBÚ,No,No
FASCINANTE CITRONELA,Sí,No
FASCINANTE MENTA,Sí,No
FASCINANTE TORONJA,Sí,No
SHAMPOO CON CERA,No,No
GEL ANTIBACTERIAL,Sí,No
SOSA LÍQUIDA,No,No
SAPONE BLANCO,No,No
SAPONE TRANSPARENTE,Sí,No
SAPONE ESPUMA,No,No
SAPONE ESPUMA BLANCO,Sí,No
DESENGRAS 2000,Sí,No
JABÓN QUIMO LÍQUIDO,Sí,No
FINISH,Sí,No
FINISH RECARGADO,Sí,No
TIPO VANISH LÍQUIDO,Sí,No
FINATELA FLOR DE LUNA,Sí,No
FINATELA PRIMAVERA,Sí,No
AROMATIZANTE CITRONELA,No,No
AROMATIZANTE LAVANDA,No,No
AROMATIZANTE GREEN BAMBU,No,No
AROMATIZANTE HUGO BOSS,No,No
AROMATIZANTE ONE MILLION,No,No
AROMATIZANTE LACOSTE BLANCO,No,No
AROMATIZANTE SAUVAGE,No,No
AROMATIZANTE CHANCE,No,No
AROMATIZANTE 500 mL,No,No
AROMATIZANTE RECARGADO,Sí,No
AROMATIZANTE RECARGADO LIMÓN,No,No
AROMATIZANTE RECARGADO HUGO BOSS,No,No
VINIL INTERIORES,No,No
VINIL PARA LLANTAS,No,No
FRESH GLASS,Sí,No
MÁS COLOR,No,No
PINOL VERDE,Sí,No
CONCENTRADO FANTÁSTICO LIMÓN,Sí,No
CONCENTRADO FANTÁSTICO LAVANDA,Sí,No
CONCENTRADO FANTÁSTICO PRIMAVERA,Sí,No
CONCENTRADO FANTÁSTICO CANELA,No,No
CONCENTRADO FANTÁSTICO CITRONELA,Sí,No
CONCENTRADO FANTÁSTICO MENTA,Sí,No
CONCENTRADO FANTÁSTICO GREEN BAMBÚ,No,No
CONCENTRADO FANTÁSTICO TORONJA,Sí,No
CONCENTRADO FASCINANTE LIMÓN,Sí,No
CONCENTRADO FASCINANTE LAVANDA,Sí,No
CONCENTRADO FASCINANTE PRIMAVERA,Sí,No
CONCENTRado FASCINANTE CANELA,Sí,No
CONCENTRADO FASCINANTE CITRONELA,Sí,No
CONCENTRADO FASCINANTE MENTA,Sí,No
CONCENTRADO FASCINANTE GREEN BAMBÚ,No,No
CONCENTRADO FASCINANTE TORONJA,Sí,No
FARAÓN,No,No
FULMINANTE,Sí,No
SUAVIZANTE DE ROPA,Sí,No
VELO ROSITA,No,No
JABÓN QUIMO RAYADO,No,No
JABÓN BARRA 400 g,Sí,No
JABÓN BARRA 180 G,Sí,No
JABÓN RAYADO 250 g,No,No
JABÓN RAYADO 1 Kg,No,No
JABÓN RAYADO 500 g,No,No
COLORANTE DILUIDO AZUL,Sí,No
COLORANTE DILUIDO MORADO,Sí,No
COLORANTE DILUIDO NEGRO,Sí,No
COLORANTE DILUIDO ROJO,Sí,No
COLORANTE DILUIDO ROSA BRILLANTE,Sí,No
COLORANTE DILUIDO ROSA PINK,Sí,No
COLORANTE DILUIDO VERDE ESMERALDA,Sí,No
COLORANTE DILUIDO VERDE LIMÓN,Sí,No
COLORANTE DILUIDO NARANJA,Sí,No
SAPONE DURAZNO,Sí,No
SAPONE MENTA,Sí,No
SAPONE MANZANA,Sí,No
SAPONE MARACUYÁ,Sí,No
SAPONE PALMOLIVE,Sí,No
SAPONE DOVE,Sí,No
SAPONE COCO,Sí,No
SAPONE GREEN BAMBU,No,No
